0.01	0.025192	0.036974	-0.0049097	-0.88321	0.0014329	0.00017923	-0.0002815	-9.2258e-05	0.010726	0.2029	0.0072096	0.00021055	7.3805e-05
0.05	0.0016319	0.002376	-0.0023607	-1.0402	0.0013797	0.00035144	-0.00045282	-0.00015163	0.0030497	0.012212	0.010271	0.00084978	0.0004808
0.1	0.0014417	0.0018829	-0.00069889	-1.0429	0.0011856	0.00043614	-0.00048487	-0.00015885	0.0012511	0.0087114	0.0089279	0.0010136	0.00080522
0.5	0.00072656	0.00091154	-0.00030625	-1.0432	0.00051147	0.00073973	-0.00054003	-0.000151	0.00061396	0.0036441	0.0031855	0.00056797	0.00058442
1	0.00026564	0.00030525	-0.00016725	-1.0436	-0.00021627	0.0007623	-0.00047332	-0.00010345	0.00019879	0.0016472	0.0012591	0.00021545	0.00021887
15	9.0795e-05	0.00011374	-6.4783e-05	-1.0438	-9.7142e-05	0.00019648	-8.7458e-05	-5.0137e-06	7.2153e-05	0.00063373	0.00035219	5.2585e-05	5.04e-05
30	9.0377e-05	0.00011316	-6.4219e-05	-1.0438	-9.5283e-05	0.00019037	-8.728e-05	-6.8585e-06	7.1814e-05	0.00063052	0.00034983	5.2256e-05	5.0096e-05
60	9.0411e-05	0.0001132	-6.4297e-05	-1.0438	-9.5636e-05	0.00019068	-8.7407e-05	-6.8821e-06	7.1833e-05	0.00063078	0.00035005	5.2293e-05	5.0133e-05
180	9.0411e-05	0.0001132	-6.4298e-05	-1.0438	-9.5638e-05	0.00019068	-8.7407e-05	-6.8813e-06	7.1834e-05	0.00063078	0.00035005	5.2293e-05	5.0133e-05
360	9.0411e-05	0.0001132	-6.4298e-05	-1.0438	-9.5638e-05	0.00019068	-8.7407e-05	-6.8813e-06	7.1834e-05	0.00063078	0.00035005	5.2293e-05	5.0133e-05
720	9.0411e-05	0.0001132	-6.4298e-05	-1.0438	-9.5638e-05	0.00019068	-8.7407e-05	-6.8813e-06	7.1834e-05	0.00063078	0.00035005	5.2293e-05	5.0133e-05
1440	9.0411e-05	0.0001132	-6.4298e-05	-1.0438	-9.5638e-05	0.00019068	-8.7407e-05	-6.8813e-06	7.1834e-05	0.00063078	0.00035005	5.2293e-05	5.0133e-05
2880	9.0411e-05	0.0001132	-6.4298e-05	-1.0438	-9.5638e-05	0.00019068	-8.7407e-05	-6.8813e-06	7.1834e-05	0.00063078	0.00035005	5.2293e-05	5.0133e-05
